source_table,source_columns,target_table,target_columns,type,constraint,notes
TRACE_INV_TRANS,"PART_ID;TRACE_ID",TRACE,"PART_ID;ID",fk,FKEY0241,
TRACE_INV_TRANS,TRANSACTION_ID,INVENTORY_TRANS,TRANSACTION_ID,fk,FKEY0284,
INVENTORY_TRANS,"WORKORDER_BASE_ID;WORKORDER_LOT_ID;WORKORDER_SPLIT_ID",WORK_ORDER,"BASE_ID;LOT_ID;SPLIT_ID",join,,"Joined in report; TYPE/SUB_ID not included in this join"
OPERATION,"WORKORDER_TYPE;WORKORDER_BASE_ID;WORKORDER_LOT_ID;WORKORDER_SPLIT_ID;WORKORDER_SUB_ID",WORK_ORDER,"TYPE;BASE_ID;LOT_ID;SPLIT_ID;SUB_ID",fk,FKEY0132,
OPERATION,"SEQUENCE_NO;WORKORDER_SUB_ID",REQUIREMENT,"OPERATION_SEQ_NO;SUBORD_WO_SUB_ID",join,,"Matches SEQUENCE_NO->OPERATION_SEQ_NO; ISNULL(REQUIREMENT.SUBORD_WO_SUB_ID,0) used in SQL"
INVENTORY_TRANS,LOCATION_ID,LOCATION,ID,join,,"Joined to LOCATION.id; LOCATION.warehouse_id -> WAREHOUSE.id"
LOCATION,WAREHOUSE_ID,WAREHOUSE,ID,fk,FKEY0117,
