dag_no,table_name,column_name,parent_table,parent_column,masking_rule,masking_type,field_length,masking_mode,pre_stage_server,status
1.1,vendor,id,,,"hash_sha256(id,length)",deterministic_hash,30,1,sql-lab-2,static
1.2,part,pref_vendor,vendor,id,"hash_sha256(pref_vendor,length)",deterministic_hash,30,1,sql-lab-2,static
1.3,work_order,part_id,part,id,"hash_sha256(id,length)",deterministic_hash,30,1,sql-lab-2,static
2.0,user_def_fields,,,,"hash_sha256(id,length)",deterministic_hash,0,1,sql-lab-2,active
